Date,DBO,GLD,SHY,SPY,TLT
2018-01-02,9.376729011535645,125.1500015258789,73.65847778320312,240.80154418945312,105.4568862915039
2018-01-03,9.579171180725098,124.81999969482422,73.65847778320312,242.32456970214844,105.96112060546875
2018-01-04,9.597574234008789,125.45999908447266,73.62330627441406,243.34600830078125,105.94427490234375
2018-01-05,9.551565170288086,125.33000183105469,73.62330627441406,244.96774291992188,105.64181518554688
2018-01-08,9.60677719116211,125.30999755859375,73.62330627441406,245.41567993164062,105.57453918457031
2018-01-09,9.77241039276123,124.7300033569336,73.5969467163086,245.97105407714844,104.16273498535156
2018-01-10,9.836824417114258,125.02999877929688,73.62330627441406,245.59483337402344,104.03671264648438
2018-01-11,9.85522747039795,125.44000244140625,73.5969467163086,247.38668823242188,104.46527862548828
2018-01-12,9.993255615234375,126.95999908447266,73.58818054199219,248.99942016601562,104.64173889160156
2018-01-16,9.910439491271973,127.16999816894531,73.57935333251953,248.1483154296875,105.07875061035156
2018-01-17,9.910439491271973,126.13999938964844,73.55303192138672,250.513427734375,104.93585205078125
2018-01-18,9.892035484313965,125.86000061035156,73.53543090820312,250.09246826171875,103.96107482910156
2018-01-19,9.864429473876953,126.41999816894531,73.56181335449219,251.2303009033203,103.41482543945312
2018-01-22,9.910439491271973,126.6500015258789,73.52664184570312,253.27301025390625,103.51567840576172
2018-01-23,10.048466682434082,127.27999877929688,73.5705795288086,253.81056213378906,103.96107482910156
2018-01-24,10.250907897949219,128.8300018310547,73.55303192138672,253.71200561523438,103.39804077148438
2018-01-25,10.131284713745117,127.97000122070312,73.53543090820312,253.81947326660156,104.24678039550781
2018-01-26,10.269312858581543,128.07000732421875,73.49151611328125,256.75823974609375,103.86022186279297
2018-01-29,10.17729377746582,127.3499984741211,73.46511840820312,255.055908203125,103.1374740600586
2018-01-30,10.002457618713379,126.80000305175781,73.47391510009766,252.4397735595703,102.53246307373047
2018-01-31,10.085274696350098,127.6500015258789,73.47391510009766,252.5652313232422,103.1374740600586
2018-02-01,10.269312858581543,128.07000732421875,73.44400787353516,252.27853393554688,101.6427230834961
2018-02-02,10.122081756591797,126.38999938964844,73.45281219482422,246.78643798828125,100.6995849609375
2018-02-05,9.92884349822998,126.70999908447266,73.58477020263672,236.46514892578125,101.65119934082031
2018-02-06,9.864429473876953,125.37999725341797,73.53197479248047,241.1240997314453,101.01959991455078
2018-02-07,9.652786254882812,124.79000091552734,73.47920989990234,239.81600952148438,100.05960083007812
2018-02-08,9.459546089172363,124.9800033569336,73.48799133300781,230.82080078125,99.95011138916016
2018-02-09,9.266305923461914,124.7699966430664,73.54957580566406,234.28810119628906,99.31851959228516
2018-02-12,9.30311393737793,125.37000274658203,73.51439666748047,237.72842407226562,99.75643157958984
2018-02-13,9.339920997619629,126.08000183105469,73.51439666748047,238.31979370117188,100.2027587890625
2018-02-14,9.505555152893066,128.22999572753906,73.40886688232422,241.53616333007812,99.09117126464844
2018-02-15,9.523958206176758,128.3800048828125,73.38243865966797,244.6182403564453,99.42803192138672
2018-02-16,9.588372230529785,127.95999908447266,73.40003967285156,244.68992614746094,99.96700286865234
2018-02-20,9.689594268798828,126.23999786376953,73.39124298095703,243.15789794921875,99.52910614013672
2018-02-21,9.671189308166504,125.66000366210938,73.40003967285156,241.9482879638672,98.30799865722656
2018-02-22,9.800016403198242,126.30000305175781,73.40886688232422,242.2619171142578,98.60274505615234
2018-02-23,9.96565055847168,126.13999938964844,73.42646789550781,246.12335205078125,99.47857666015625
2018-02-26,10.048466682434082,126.44999694824219,73.43522644042969,248.98143005371094,99.5122299194336
2018-02-27,9.92884349822998,125.12999725341797,73.38243865966797,245.87255859375,99.36907958984375
2018-02-28,9.652786254882812,125.0,73.40003967285156,243.38182067871094,100.00064849853516
2018-03-01,9.652786254882812,124.72000122070312,73.50218200683594,239.8428955078125,100.68327331542969
2018-03-02,9.698795318603516,125.38999938964844,73.46693420410156,241.0792999267578,99.86479949951172
2018-03-05,9.809218406677246,125.18000030517578,73.46693420410156,243.86569213867188,99.59476470947266
2018-03-06,9.81842041015625,126.52999877929688,73.44937896728516,244.48387145996094,99.68756866455078
2018-03-07,9.680391311645508,125.72000122070312,73.44937896728516,244.39427185058594,99.5779037475586
2018-03-08,9.634383201599121,125.41999816894531,73.46693420410156,245.57687377929688,100.15167236328125
2018-03-09,9.827621459960938,125.54000091552734,73.43174743652344,249.85049438476562,99.49352264404297
2018-03-12,9.809218406677246,125.54000091552734,73.46693420410156,249.53704833984375,100.06732940673828
2018-03-13,9.77241039276123,125.77999877929688,73.4845962524414,247.9242401123047,100.57359313964844
2018-03-14,9.78161334991455,125.69999694824219,73.47575378417969,246.65206909179688,101.45960235595703
2018-03-15,9.809218406677246,124.9000015258789,73.4845962524414,246.38323974609375,101.45960235595703
2018-03-16,9.92884349822998,124.5999984741211,73.44937896728516,246.6504364013672,101.09671783447266
2018-03-19,9.873631477355957,124.87000274658203,73.44937896728516,243.3131103515625,100.77611541748047
2018-03-20,10.020861625671387,124.30999755859375,73.42292022705078,243.72698974609375,100.37107849121094
2018-03-21,10.287715911865234,126.4800033569336,73.47575378417969,243.25918579101562,100.48077392578125
2018-03-22,10.131284713745117,125.9800033569336,73.510986328125,237.1783905029297,101.47647094726562
2018-03-23,10.342926979064941,127.61000061035156,73.5285873413086,232.1230010986328,101.40054321289062
2018-03-26,10.306119918823242,128.27999877929688,73.49336242675781,238.47372436523438,101.01235961914062
2018-03-27,10.250907897949219,127.48999786376953,73.54623413085938,234.41683959960938,102.09248352050781
